 File 	 檔案 
Pick another one instead.	換摘另一顆吧。
There are no more walnuts to pick.	沒有更多胡桃可以摘了。
You'll have to get closer to the nuts.	你得靠近那些胡桃才行。
You choose a big, meaty-looking walnut from the bunch scattered around.	你從散落一地的胡桃中，挑了一顆看起來大又飽滿的。
Naah, you'd get sticky sap and pine needles all over yourself.	算了吧，你會沾得滿身黏答答的樹脂和松針。
They're doing quite nicely where they are, thank you.	它們待在原地好好的，謝了。
There appears to be some sort of bowl sitting next to the tree.	樹旁似乎放著某種碗。
There appears to be some sort of bowl on the ground.	地上似乎放著某種碗。
From what you can see of it, it looks like a colorful bowl of some sort.	從你看到的樣子判斷，這像是某種色彩繽紛的碗。
The ground all around Daventry is carpeted with lush, green grass.	戴凡確王國四周的地面，鋪滿了茂盛翠綠的青草。
A gigantic beanstalk has grown here, stretching up until it disappears into the clouds above.	這裡長出了一株巨大的豆莖，一路向上延伸，直到消失在頭頂的雲層裡。
This is a charming little wooded area of the forest. Pine trees and lush grass grow in the especially rich soil here.	這是森林裡一小片迷人的林地，肥沃的土壤上長滿了松樹和茂密的青草。
Lovely pine trees abound in this forest.	這片森林裡到處都是美麗的松樹。
You've already picked it up.	你已經撿起來了。
You can't pick up the bowl while you're invisible.	你隱形的時候沒辦法撿起那個碗。
You are too busy.	你正忙著呢。
On the far side of the river is a green meadow.	河的對岸是一片綠色草原。
The meadow is on the other side of the river.	草原在河的另一邊。
Water rushes swiftly around the bend and over the rocks.	河水湍急地繞過彎道、越過岩石。
You see a lovely green meadow on the other side of the river.	你看見河的另一邊有片美麗的綠色草原。
The swiftly-moving water is even more dangerous than it looks.	湍急的河水比看起來還要危險。
The meadow is on the other side of the raging river.	草原在這條怒河流的另一邊。
Around the rugged rocks the reckless river rages.	洶湧的河水在崎嶇的岩石間肆虐奔騰。
High cliffs border a wild, raging river.	高聳的懸崖夾著一條狂野洶湧的河流。
You notice an enchanting meadow.	你注意到一片迷人的草原。
The meadow on the other side of the river looks very peaceful and enchanting.	河對岸的草原看起來十分寧靜迷人。
Some of the rocks poke up from the riverbed.  These rocks are actually very tall and treacherous!	河床上突出幾塊岩石，這些岩石其實又高又危險！
No way.  Who knows what squirmy, slimy creatures are lurking underneath?	才不要。誰知道底下潛伏著什麼扭來扭去的黏滑生物？
There are craggy rocks scattered around the forest. You hate to think of what's underneath them.	森林四處散落著崎嶇的岩石，你不敢去想岩石底下藏著什麼。
You are in an eerie, desolate part of the forest.	你來到森林裡一處陰森荒涼的地方。
The trees are bent and stunted, making the forest look even gloomier.	樹木彎曲又發育不良，讓森林看起來更加陰森。
There's nothing to be gained by reaching into the hole.	把手伸進洞裡不會有任何收穫。
You would need to be much smaller to fit through that hole.	你得小上許多，才能穿過那個洞。
You might just as well try to hold a moonbeam in your hand!	你不如試試用手抓住一道月光算了！
This rock is firmly stuck in the ground.	這塊石頭牢牢卡在地上。
Although you are very strong and healthy, this rock is too much even for you.	雖然你身強體健，這塊石頭還是太重，連你也搬不動。
The hole appears to go deep down through the rock, into the ground below.  You can barely make out a faint greenish glow somewhere far inside.	這個洞似乎深深穿透岩石，通往地底深處。你隱約能看見遠方深處有一絲微弱的綠光。
There seems to be a small hole at the base of one of the boulders.	其中一顆巨石底部似乎有個小洞。
An extremely large jumble of boulders sits in the center of this heavily wooded area.  At the base of one, you see a small hole.	這片茂密樹林的中央堆著一大堆巨石。你看見其中一顆的底部有個小洞。
You notice a small hole at the base of one of the craggy boulders in the center of the clearing.	你注意到，空地中央嶙峋巨石的底部有個小洞。
It seems to have a green tinge to it, but it's so faint you can't tell for sure.	它似乎帶著一抹綠色，但太過微弱，讓你無法確定。
What glow?	什麼光芒？
The ancient, mossy rock has seen many winters.  There is a small hole at its base.	這塊佈滿青苔的古老岩石，已經歷過許多個寒冬。它的底部有個小洞。
From where you're standing, it appears to be nothing more than a large rock.	從你站的地方看去，它似乎只是一塊大石頭。
Congratulations!  You now have all three of Daventry's lost treasures!  Now don't waste any time; bring the treasures straight back to King Edward before it's too late.	恭喜！你已經找齊了戴凡確王國失落的三件寶物！別再浪費時間了，趁一切還來得及，趕緊把寶物帶回去給愛德華國王。
You'll have to move closer.	你得靠近一點才行。
Large moss-covered trees surround a shallow, swampy lake.	長滿青苔的大樹，環繞著一座淺淺的沼澤湖。
Spotting the snake in the treetops you wisely decide that there are better trees to climb than this one.	你發現樹梢上有條蛇，明智地決定去爬別棵樹。
You'll wind up with a useless dead snake and a guilty conscience.	到頭來你只會得到一條沒用的死蛇，還有滿滿的罪惡感。
The snake's small red tongue flicks at the air, tasting your presence in the swamp.	蛇的小紅舌頭在空氣中吐信，感應著你在沼澤裡的存在。
Even if the snake could hear you, it wouldn't have anything to say.	就算蛇聽得懂你說話，牠也無話可說。
The huge snake is watching you very closely, and its intentions are less than friendly.	那條巨蛇正緊盯著你，來意顯然不太友善。
Numerous flowers are growing in the fertile soil.	肥沃的土壤裡開滿了各式花朵。
The flowers' fragrance is enticing.	花朵散發出誘人的香氣。
It would be a shame to pick the lovely wildflowers.	摘下這些美麗的野花實在太可惜了。
Lovely wildflowers grow profusely in this beautiful green meadow.	這片美麗的綠色草原上，遍地盛開著可愛的野花。
A mighty beanstalk has sprouted from the magic beans you planted!  Around the beanstalk, several varieties of wildflowers are growing.	你種下的魔豆長出了一株雄偉的豆莖！豆莖四周開著好幾種野花。
The wildflowers are very beautiful here.	這裡的野花非常美麗。
A natural rock bridge crosses the steep, slippery banks of the river here.	這裡有一座天然的石橋，橫跨過又陡又滑的河岸。
As the troll pushes you back your ring slips off your finger and into the raging river below. It's lost forever!	矮精靈把你推了回去，戒指從你的手指上滑落，掉進下方湍急的河水中。它永遠消失了！
The water is particularly perilous as it passes downstream through this gully.	河水流經這道溝壑往下游而去時，格外危險。
GNOME: "How in the world did you think of that?  That's not even close."	矮人：「你到底是怎麼想到那個的？差得可遠了。」
You weren't invited into the gnome's house.	矮人並沒有邀請你進去他家。
There's a rock over by the bush, but this rock is nothing compared to the one the gnome lives in!	灌木叢旁有塊石頭，但跟矮人住的那塊比起來根本不算什麼！
The gnome's house is carved right into the rock between three trees.	矮人的家就鑿在三棵樹之間的岩石裡。
The broad leaves provide shade for the gnome during the hot summer months.	寬大的樹葉在炎熱的夏季為矮人遮蔭。
The roots of the three trees grow freely around the gnome's house.	三棵樹的樹根，恣意地在矮人家周圍蔓生。
This hole, carved into the side of the rock, is the entrance to the gnome's home.  It's too dark inside to make out any details, and the gnome probably prefers it that way.	這個鑿在岩壁上的洞口，就是矮人家的入口。裡頭太暗了，看不清任何細節，矮人大概也樂得如此。
The wizened gnome went inside his house.	那位乾瘦的矮人走進了他家裡。
You see a wizened old gnome sitting in front of his house, whittling.	你看見一位乾瘦的老矮人，坐在家門前削著木頭。
You are speaking with a wizened old gnome.	你正在和一位乾瘦的老矮人說話。
You see a wizened old gnome walking to his house.	你看見一位乾瘦的老矮人正走回家去。
Why?  The gnome has done nothing to you.	為什麼？矮人又沒對你做過什麼。
The gnome isn't here.	矮人不在這裡。
You won't need any straw on your quest.	你的冒險用不到稻草。
The gnome spun that gold out of straw! You can't take it, but don't worry. If you needed it, the gnome would give it to you.	矮人把那些黃金用稻草紡出來的！你不能拿走，不過別擔心，如果你需要，矮人自然會給你。
The spinning wheel helps the gnome make his living. Please don't take it.	這台紡車是矮人賴以維生的工具，請別拿走它。
Only gnomes know how to do that.	只有矮人才懂得怎麼做那件事。
Now what in the world would you do with a gnome?	你到底要拿一個矮人來做什麼？
GNOME: "Ooooh, very close, very close!  But not quite right!"	矮人：「噢～很接近了，很接近了！但還不完全對！」
The gnome is busy whittling, and doesn't notice you.	矮人正忙著削木頭，沒注意到你。
What do you think I am, a car?  This also won't get you a raise.  Nice try.	你以為我是什麼，一輛車嗎？這樣也加不了薪。想得美。
GNOME: "Please, keep guessing, won't you?"	矮人：「拜託，繼續猜嘛，好不好？」
GNOME: "Really, Sir Graham!"	矮人：「格拉漢爵士，真是的！」
The gnome momentarily pauses in response to the mysterious voice, then resumes his whittling.	矮人聽到這個神秘的聲音，停頓了一下，接著又繼續削木頭。
GNOME: "You still haven't guessed my name!"	矮人：「你還沒猜出我的名字呢！」
The gnome can't hear you from there!	你站在那裡，矮人聽不見你說話！
GNOME: "Where did you get that idea?  That's not even close!"	矮人：「你這想法是打哪來的？差得可遠了！」
GNOME: "You have only one guess left, Sir Graham!"	矮人：「格拉漢爵士，你只剩最後一次機會了！」
The gnome momentarily pauses in response to the mysterious voice, then resumes his whittling	矮人聽到這個神秘的聲音，停頓了一下，接著又繼續削木頭
The gnome is busy whittling, and doesn't hear your guess.  Move closer and give it another try.	矮人正忙著削木頭，沒聽見你的答案。靠近一點，再試一次吧。
GNOME: "That's right!  Outstanding!  I didn't think you were THAT clever."	矮人：「答對了！太厲害了！沒想到你有這麼聰明。」
GNOME: "As a reward for your sharp intellect, here are some beans.  They're no ordinary beans, but it's up to you to find out why."	矮人：「為了獎勵你的機智，這裡有一些豆子。它們可不是普通的豆子，至於為什麼，就由你自己去發現吧。」
GNOME: "Somebody as smart as yourself should have no problem at all.  <giggle>"	矮人：「像你這麼聰明的人，這應該難不倒你才對。〈竊笑〉」
GNOME: "Well, step over here so I can give them to you."	矮人：「來，走過來這邊，讓我把它們交給你。」
GNOME: "You didn't guess my name, but I am still going to help you, Sir Graham."	矮人：「格拉漢爵士，雖然你沒猜中我的名字，但我還是會幫你的。」
GNOME: "Take this golden key.  It will aid you on your quest, Sir Graham, but it's up to you to find out how!"	矮人：「格拉漢爵士，拿去這把金鑰匙。它會在你的冒險中幫上忙，至於怎麼用，就由你自己去發現吧！」
GNOME: "Well, step over here so I can give it to you."	矮人：「來，走過來這邊，讓我把它交給你。」
GNOME: "Here you are.  Good luck on your quest."	矮人：「拿去吧。祝你冒險順利。」
GNOME: "Er, pardon me, Sir Graham, but you're blocking my home.  I have other adventurers to help and other puzzles to pose!"	矮人：「呃，格拉漢爵士，不好意思，你擋住我家的門了。我還有其他冒險者要幫忙、還有其他謎題要出呢！」
GNOME: "Thank you, Sir Graham."	矮人：「謝謝你，格拉漢爵士。」
GNOME: "So, you've come back!  Good for you, Sir Graham!"	矮人：「哦，你又回來了！格拉漢爵士，真有你的！」
GNOME: "Welcome, Sir Graham.  I have been expecting you."	矮人：「歡迎，格拉漢爵士。我一直在等你。」
GNOME: "I have something that will be of great use to you.  But first, Sir Graham, you must answer this riddle.  I'll give you three guesses.  What is my name?"	矮人：「我有樣東西對你會很有用。不過格拉漢爵士，你得先回答這個謎題。我給你三次機會，猜猜我叫什麼名字？」
GNOME: "It's been delightful chatting with you, Sir Graham.   I get so few visitors... Perhaps it's the fault of that thickheaded troll."	矮人：「格拉漢爵士，跟你聊天真愉快。我這裡訪客實在不多……也許都要怪那個榆木腦袋的矮精靈。」
mad	生氣
really mad	非常生氣
It is of no use to keep guessing the gnome's name.	再繼續猜矮人的名字也沒有用了。
GNOME: "You have only one guess left."	矮人：「你只剩最後一次機會了。」
GNOME: "You still have two guesses."	矮人：「你還有兩次機會。」
This is the gnome's spinning wheel.	這是矮人的紡車。
This is a pile of gold.	這是一堆黃金。
There is a small pile of straw here.	這裡有一小堆稻草。
As the troll pushes you back your ring slips off and falls into the river, to be lost forever.	矮精靈把你推了回去，戒指滑落，掉進河裡，永遠消失了。
The river ripples as it rushes over the rocks.	河水沖過岩石，激起陣陣漣漪。
You can just walk out of the river.	你可以直接走出河流。
The swift current is making it impossible to swim.	湍急的水流讓你根本無法游泳。
Off to one side is a clear blue lake surrounded by a pretty meadow.  A swift river flows into the lake.	一旁是一座清澈的藍色湖泊，四周環繞著美麗的草原，一條湍急的河流注入湖中。
The pretty meadow surrounds the clear blue lake.	美麗的草原環繞著這座清澈的藍色湖泊。
The clear blue lake is surrounded by a pretty meadow.	這座清澈的藍色湖泊，四周環繞著美麗的草原。
The river gets to be rather rough around these parts.	河水流到這一帶變得相當湍急。
You glance under the old bridge, but see nothing unusual.	你瞄了一眼舊橋底下，沒發現什麼異常。
There are some large rocks jutting out of the river here.	這裡的河面上突出幾塊大石頭。
There are rocks and small boulders all along the lakeshore.	湖岸邊到處是石頭和小巨石。
You see a clear blue lake surrounded by a pretty meadow.	你看見一座清澈的藍色湖泊，四周環繞著美麗的草原。
The pretty meadow surrounds a clear blue lake.	美麗的草原環繞著一座清澈的藍色湖泊。
The river, barely visible off to the west, empties into the lake.	西邊隱約可見的河流，注入了這座湖泊。
A few trees sit near a clear blue lake.	幾棵樹佇立在一座清澈的藍色湖泊旁。
This is a jumping fish.  You'd jump, too, if you lived in such cold water!	這是一條會跳躍的魚。要是你也住在這麼冷的水裡，也會跳個不停！
At the moment, you'd only be able to see the fish from underwater!	此刻，你只有潛到水裡才看得見這條魚！
The fish would do you no good except to attract the attention of every cat in the kingdom!	這條魚對你一點用也沒有，頂多只會引來全王國貓咪的注意！
In the condition the cottage is in, that might be dangerous.	以這間小屋目前的狀況來看，這麼做恐怕很危險。
Upon closer inspection you realize this poor cabin doesn't even have a door.	你仔細一看才發現，這間破舊的小屋根本連門都沒有。
The roof is sadly in need of reshingling. It leaks in several dozen places.	這屋頂實在需要重新鋪瓦了，好幾十個地方都在漏水。
This is the saddest-looking roof you've ever seen.  Made of thatched bark, it clearly won't keep the rain out.  It's sagging slightly, too...it looks like it might fall in if it isn't repaired soon!	這是你見過最悽慘的屋頂了。它是用茅草樹皮蓋成的，顯然擋不住雨水，而且還有點下陷……看起來要是再不修，很快就會塌下來！
The chimney seems to be the only part of the cottage that doesn't need repairing.	這間小屋似乎只有煙囪不需要整修。
Inside, you can see the woodcutter feeding stew to his wife.  Somehow, the shaky little hut looks cheerier inside already!	你看見屋裡的樵夫正餵妻子喝燉肉湯。不知怎地，這間搖搖欲墜的小屋，裡頭看起來已經開朗多了！
When you look in the doorway, you see a poor starving woodcutter and his wife.	你朝門口望去，看見一位可憐挨餓的樵夫和他的妻子。
From where you're standing, you can see that the cottage doesn't even have a door.	從你站的地方看去，你發現這間小屋根本連門都沒有。
It was made from rough, hand-hewn logs long ago.  Lately, the upkeep has faltered.  There are even holes in the roof.	這是很久以前用粗糙的手削原木蓋成的。近來乏人維護，屋頂上甚至還有破洞。
Through the small paneless window, you see a very relieved woodcutter feeding hot stew to his wife.	透過那扇沒有玻璃的小窗，你看見一位如釋重負的樵夫，正餵妻子喝熱騰騰的燉肉湯。
Through the small paneless window, you see a poor starving woodcutter and his bedridden wife.	透過那扇沒有玻璃的小窗，你看見一位可憐挨餓的樵夫和他臥病在床的妻子。
You are unable to see in the window from here.	你在這裡沒辦法看進窗戶裡。
You're standing too far away from the house to see inside.	你離這間房子太遠了，看不見裡面。
There is a window on the front of the house.	房子正面有一扇窗戶。
You see the cottage of the poor woodcutter and his wife.  You helped them both tremendously by giving them the magic bowl of hot stew.	你看見這間可憐樵夫夫妻倆住的小屋。你送給他們那個裝滿熱燉肉的魔法碗，幫了他們很大的忙。
You see a cottage in shambles.  It saddens you to think that somebody might still live there.	你看見一間破敗不堪的小屋。一想到可能還有人住在裡面，你就感到難過。
Perhaps you should go inside the cottage for a better look.	也許你該進去小屋裡看個仔細。
You can't see inside the door from where you're standing.  Perhaps if you moved a little closer.	你站在這裡看不進門內，也許再靠近一點會比較好。
An old axe is permanently wedged into the tree stump.	一把老斧頭牢牢卡在樹樁裡，怎麼也拔不出來。
The handle has been broken and repaired.  The head shows the signs of many sharpenings.	斧柄斷過又修補過，斧頭上滿是多次磨利的痕跡。
The trees were cut from these stumps years ago with this ax.	多年前，這些樹樁上的樹木就是用這把斧頭砍下的。
The trees were cut from these stumps years ago.	多年前，這些樹木就是從這些樹樁上砍下的。
The old axe is tightly wedged in the tree stump.  You cannot remove it no matter what you do.	這把老斧頭緊緊卡在樹樁裡，不管你怎麼做都拔不出來。
How are you going to use the axe when you can't even get it out of the stump?	你連斧頭都拔不出樹樁，要怎麼用它？
It is an ancient, rusty water pump.  It probably doesn't even work.	這是一台老舊生鏽的手壓幫浦，恐怕根本不能用了。
The rusty pump doesn't work.	這台生鏽的幫浦壞了。
You need to get closer.	你得靠近一點。
You need to go inside to do that.	你得先進到裡面才能這麼做。
You can't do that now.	你現在還不能這麼做。
There isn't a glass pane in this window.	這扇窗上沒有玻璃。
You are not close enough.	你離得不夠近。
You should really try to find the door.	你真的該想辦法找到門才對。
You see the back of the old tumbledown cottage, badly in need of repair.	你看見這間搖搖欲墜的老舊小屋的背面，急需整修。
A patchwork of old boards keeps the house together.	幾塊拼湊起來的舊木板，勉強撐住這間房子。
Perhaps you should go inside the house for a better look.	也許你該進去房子裡看個仔細。
You could get a much better view if you were a little bit closer.	你要是再靠近一點，視野會清楚許多。
When you look in the window, you see a poor starving woodcutter and his wife.	你從窗戶望進去，看見一個貧窮挨餓的樵夫和他的妻子。
You see the woodcutter feeding his poor wife.  Some of the color seems to have come back into her cheeks.	你看見樵夫正在餵他可憐的妻子吃東西，她的臉頰似乎稍微恢復了血色。
There is a window on the back of the house.	房屋後面有一扇窗戶。
There might be someone home.	家裡似乎有人在。
You are in a gloomy forest clearing.	你身處一片陰暗的森林空地。
This lovely meadow is split by a wild, raging river.	這片美麗的草原被一條奔騰洶湧的河流一分為二。
There is a mushroom in the meadow on the other side of the raging river.	怒河流的對岸草原上有一朵蘑菇。
There is a large mushroom in the meadow next to the river.	河邊的草原上有一朵大蘑菇。
There is a large mushroom growing in the ground close by.	附近的地上長著一朵大蘑菇。
There is nothing of interest around you.	你四周沒有什麼值得注意的東西。
You see the familiar side of the raging river.	你看見這條怒河流你熟悉的這一岸。
The land across the river looks enchanting.  You wonder how you can get there.	河對岸的土地看起來迷人極了，你不禁想著該怎麼過去。
It would be too dangerous to try and jump from boulder to boulder.	想從一顆巨石跳到另一顆巨石實在太危險了。
The swiftly-moving water looks dangerous.	湍急的水流看起來很危險。
You hold the mushroom up to your nose and inhale the fragrance. It smells just like a fresh-picked mushroom should.	你把蘑菇舉到鼻子前聞了聞，聞起來就像剛採下的新鮮蘑菇一樣。
You can just detect the aroma of fresh mushroom.	你隱約聞到新鮮蘑菇的香氣。
Yes, there's a definite mushroom tang in the air.	沒錯，空氣中確實帶著蘑菇的氣味。
You've already picked it.	你已經摘過了。
The mushroom is on the far side of the river.	蘑菇在河的對岸。
You can't pick the mushroom while you're invisible.	你隱形的時候沒辦法摘蘑菇。
Far in the distance, you can see the spires and turrets of King Edward's castle.	遠方，你能看見愛德華國王城堡的尖塔與角樓。
You don't have the mushroom anymore.	你身上已經沒有蘑菇了。
A large bulbous mushroom grows in the distance.	遠處長著一朵碩大渾圓的蘑菇。
This is a small, aromatic mushroom.	這是一朵小巧芳香的蘑菇。
The rampaging river roils around the rough rocks.	狂暴的河水在嶙峋的岩石間翻騰。
The water is swiftly flowing around the rock.	河水湍急地繞著岩石流過。
The water cascades down a small waterfall here.	河水在這裡形成一道小瀑布傾瀉而下。
You need to be closer to do that.	你得靠近一點才能這麼做。
The face of the cliff is too steep for you to climb.	這面峭壁太陡了，你爬不上去。
In the depths of the large hole you seem to sense a faint, green glow.	在這個大洞的深處，你似乎察覺到一絲微弱的綠光。
Don't be afraid... get closer.	別害怕……靠近一點。
There is a hole in this part of the meadow.	這片草原上有一個洞。
Beautiful spring flowers ring the meadow.	美麗的春花環繞著這片草原。
The meadow is bounded by a steep cliff. There is a deep hole in the ground.	這片草原以一面陡峭的懸崖為界，地上還有一個很深的洞。
Off in the distance, you can see the beautiful snow-capped mountains of Daventry.	遠方，你能看見戴凡確王國美麗的雪山。
As you struggle to retain your balance, the magic ring slips from your finger and vanishes.	你奮力想保持平衡時，魔戒從你的手指上滑落，消失無蹤。
There is no need to throw the dagger, there are no enemies here.	沒必要投擲短刀，這裡沒有敵人。
You can't climb down the rope any farther.	你沒辦法再順著繩索往下爬了。
You are as far down as you'll get without being in the water.	不下水的話，你已經爬到能到的最低處了。
You can't climb down while swimming.	你游泳時沒辦法往下爬。
There's no point in becoming invisible here; the well is dark enough as it is.	在這裡隱形沒有意義，這口井本來就夠暗了。
You're frantically swimming in the cold water of the well	你正在井裡冰冷的水中拚命游著
You're suspended in a bucket above the cold water below.	你懸掛在水桶裡，位於下方冰冷的井水之上。
You are hanging on a rope, above the cold well water below.	你吊掛在繩索上，位於下方冰冷的井水之上。
You can just see the opening of the well above you.	你隱約能看見上方井口的開口。
You can barely see the bottom of the well.	你幾乎看不清井底。
You see the well water below you.	你看見下方的井水。
You are sitting in the bucket.	你坐在水桶裡。
Algae and lichen cover the damp well walls.	潮濕的井壁上覆滿了藻類與地衣。
There is no reason to stop swimming.  You may drown.	沒有理由停止游泳，你可能會淹死。
You cannot stop something you haven't started.	你沒辦法停止一件根本還沒開始的事。
You already are swimming.	你已經在游泳了。
You have to be swimming before you can go diving.	你得先游泳，才能潛水。
You're too busy drowning right now.	你現在正忙著淹死，沒空做別的事。
You can't climb up the wall from there.	你沒辦法從那裡爬上牆。
There is no rope here.	這裡沒有繩索。
Leave the rope where it is; you may find a use for it later.	讓繩索留在原地，你之後也許用得上。
You leap out of the water and grab the rope.	你從水裡一躍而起，抓住繩索。
You're too busy drowning at the moment.	你現在正忙著淹死，沒空做別的事。
You can't climb up the rope from there.	你沒辦法從那裡爬上繩索。
You don't have a dagger.	你身上沒有短刀。
You can't cut the rope from here.	你沒辦法從這裡切斷繩索。
You're already sitting in the bucket.	你已經坐在水桶裡了。
You leap out of the water and climb into the bucket.	你從水裡一躍而起，爬進水桶裡。
There's no point in sitting in there.	坐進去沒有意義。
Jumping into the bucket is not only pointless, it's dangerous.	跳進水桶不僅沒有意義，還很危險。
It's too late for that.  You'll never get into the bucket now.	太遲了，你現在已經進不了水桶了。
There is no bucket here.	這裡沒有水桶。
Just jump into the water if you like.	你想的話，儘管跳進水裡吧。
You're busy drowning at the moment.	你現在正忙著淹死，沒空做別的事。
You drink all the water in the bucket.  You must have been thirsty!	你把水桶裡的水全喝光了，看來你一定是渴壞了！
You open your mouth and swallow some water.	你張開嘴巴，吞了幾口水。
It's hard to jump without solid ground under your feet.	腳下沒有堅實的地面，很難跳起來。
You are not in the bucket.	你不在水桶裡。
Jumping will take you where you want to go.	跳下去就能帶你到你想去的地方。
You have taken the bucket already.	你已經拿走水桶了。
You manage to take the bucket.	你成功拿到了水桶。
It would be easier if the bucket wasn't attached to the rope.	要是水桶沒綁在繩索上，事情會容易得多。
This weathered old bucket has withstood many years of use.	這只飽經風霜的舊水桶，已經耐用了許多年。
The rope is thick and sturdy; it can easily support many times your weight.	這條繩索又粗又堅固，輕輕鬆鬆就能承受好幾倍你的體重。
Though you try, the fall has knocked the wind out of you, and your lungs quickly fill with water.	儘管你努力掙扎，這一摔已經讓你喘不過氣，肺裡很快就灌滿了水。
You have taken the only bucket.	你已經拿走了唯一的水桶。
There's no bucket here.	這裡沒有水桶。
You're climbing a rope, suspended inside a dark, damp well.	你正攀著繩索，懸在一口陰暗潮濕的井裡。
The old rope extends into the sunlight far above you.	這條老舊的繩索一路延伸到你頭頂上方的陽光裡。
Below you, you see the well's cold, dark water.	在你下方，你看見井裡陰暗冰冷的水。
Just below you, there's an old, weathered bucket.	就在你下方，有一只飽經風霜的舊水桶。
You can't stand at the moment.	你現在沒辦法站起來。
The bucket in which you're sitting is suspended a short distance above the well's cold, dark water.	你坐著的這只水桶，懸在井裡陰暗冰冷的水面上方不遠處。
You're sitting in a bucket, suspended inside a dark, damp well.	你坐在水桶裡，懸在一口陰暗潮濕的井裡。
You'll have to be holding the bucket first.	你得先抓住水桶才行。
Unfortunately, the walls of the well are too slick and slimy to be climbed.	可惜井壁又滑又黏，沒辦法攀爬。
When the goat saw how dark it was in here, it decided not to stay around.	山羊一看這裡有多暗，就決定不留在這裡了。
The cave walls are hewn from the living rock of the mountain.  They're dark, cold, and covered with a thin layer of slime.	洞穴的牆壁是從山體的岩床鑿刻而成，陰暗冰冷，還覆著一層薄薄的黏液。
It is a huge piece of granite.	這是一大塊花崗岩。
This is a large, apparently vacant cave.  Damp and cool, the cave is lit only by the sunlight streaming in through the cave's entrance to the west.	這是一個空曠寬敞的洞穴，似乎空無一物，陰涼潮濕，唯一的光源是從西邊洞口灑進來的陽光。
A large boulder is blocking what may be another entrance to this cave.	一塊巨石擋住了這個洞穴另一個可能的入口。
It took millenniums for these stalagmites and stalactites to form.	這些石筍與鐘乳石經過了千萬年才形成。
Looking out the cave opening, you are able to admire the beautiful scenery outside.	望向洞口，你能欣賞到外頭美麗的景色。
It leads to another portion of the cave.	它通往洞穴的另一個區域。
This opening is blocked by a large boulder.	這個洞口被一塊巨石擋住了。
It is on the far side of the cave.	它在洞穴的另一端。
It is far too heavy to carry around.	它太重了，帶不走。
You need to move closer to try that.	你得再靠近一點才能試試看。
It is impossible for you to move a boulder this large.	你不可能搬得動這麼大的一塊巨石。
Yeech.  Fear not, you won't need it.	呃……別擔心，你用不到它。
There is nothing of interest on top of the boulder.	巨石上面沒有什麼值得注意的東西。
The brackish water would not be too satisfying.  It may even make you sick.	這種帶鹹味的濁水喝起來不會怎麼可口，說不定還會讓你生病。
Drops of brackish water fall from the stalactites.	鐘乳石上滴落著帶鹹味的濁水。
Small puddles of water, acrid and unpleasant, collect beneath the dripping rock formations above.	上方滴水的岩層下方積著一灘灘刺鼻難聞的水窪。
The bucket doesn't have water in it.	水桶裡沒有水。
The dragon is dead.  His fire can no longer harm you.	巨龍已經死了，牠的火焰再也傷不了你。
You have already doused the dragon's fire.  It has crept off in embarrassment!	你已經澆熄了巨龍的火焰，牠尷尬地悄悄溜走了！
Maybe you should try that from a different spot.	也許你該換個地方試試看。
This boulder is a huge chunk of granite.	這塊巨石是一大塊花崗岩。
In this large underground cavern, there is one slimy green dead dragon, an opening on one side, and a very large boulder.	在這個寬闊的地底洞穴裡，有一條渾身黏液的綠色巨龍已死，一側有個洞口，還有一塊碩大的巨石。
There is a dead dragon, a large boulder, and a seemingly ordinary mirror in the cave.	洞穴裡有一條死去的巨龍、一塊巨石，還有一面看似平凡無奇的鏡子。
The cavern is empty, save for a couple of openings on either side.	這個洞穴空無一物，只有兩側各有一個洞口。
There is a large granite boulder in the cave, as well as a mirror...a MAGIC mirror!!	洞穴裡有一塊巨大的花崗岩巨石，還有一面鏡子……一面「魔鏡」！！
In this large underground cavern, there is a ferocious fire-breathing dragon, an opening on one side, and a very large boulder.	在這個寬闊的地底洞穴裡，有一條兇猛的噴火巨龍，一側有個洞口，還有一塊碩大的巨石。
The ferocious fire-breathing dragon is protecting the magic mirror.	這條兇猛的噴火巨龍正守護著魔鏡。
Parts of the cave are made impassable by huge, jagged stalagmites.  The craggy limestone stalactites hang menacingly from the roof of the cavern.  It took millenniums for these stalagmites and stalactites to form.	洞穴的部分區域被巨大嶙峋的石筍擋住，無法通行。嶙峋的石灰岩鐘乳石從洞頂陰森森地垂掛而下。這些石筍與鐘乳石經過了千萬年才形成。
The hole seems to lead further into the cave.	這個洞似乎通往洞穴更深處。
The faint images of reflected light issue from the entrance.	微弱的反射光影從入口透出。
There are two entrances to the cave.	這個洞穴有兩個入口。
In this large cavern, there is a slimy dead dragon.	在這個寬闊的洞穴裡，有一條渾身黏液的死去巨龍。
The dragon has fled, never to return.	巨龍已經逃走，再也不會回來了。
The dragon's rough, red pointed tongue protrudes awkwardly from the dead dragon's maw.	死去巨龍的嘴裡，粗糙的紅色尖舌尷尬地伸出口外。
The dragon's still got it.	巨龍依然留著它。
It would be easier if the dragon wasn't using it.	要是巨龍沒在用它，事情會容易得多。
You take the Magic Mirror!  Congratulations!	你拿到了魔鏡！恭喜你！
Dragon's Tongue is considered a delicacy in some parts of the world, but not in Daventry!	龍舌在世界某些地方被視為珍饈，但在戴凡確王國可不是！
The dragon took it with him.	巨龍把它一起帶走了。
